GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_4901: Average monthly shelter costs for rented dwellings ($),v_CA16_409: Single-detached house,v_CA16_408: Occupied private dwellings by structural type of dwelling data,v_CA16_410: Apartment in a building that has five or more storeys
59150777,DA,Vancouver,0.01556,1212,658,622,1896,0,620,600
59150779,DA,Vancouver,0.01673,987,652,589,1713,0,585,565
59150780,DA,Vancouver,0.06649,2306,1596,1461,1431,5,1460,1410
59150782,DA,Vancouver,0.01626,464,338,301,1714,0,300,290
59150784,DA,Vancouver,0.01699,642,442,400,1158,5,400,400
59150785,DA,Vancouver,0.04879,1895,1431,1325,1350,0,1325,1290
59150786,DA,Vancouver,0.01713,566,366,320,1993,0,320,320
59150787,DA,Vancouver,0.00969,488,236,205,2568,0,205,205
59150788,DA,Vancouver,0.0245,707,440,404,1522,0,400,385
59150790,DA,Vancouver,0.04206,1182,709,645,2245,0,645,590
59150791,DA,Vancouver,0.01829,593,454,438,1216,0,435,435
59150792,DA,Vancouver,0.02441,855,501,489,1246,0,490,360
59150793,DA,Vancouver,0.02226,981,725,712,1012,0,710,570
59150795,DA,Vancouver,0.04796,882,601,585,1242,0,585,295
59150816,DA,Vancouver,0.01275,318,214,207,1131,5,205,120
59150817,DA,Vancouver,0.02674,572,325,305,1243,0,305,205
59150819,DA,Vancouver,0.01343,415,331,284,1248,0,285,220
59150820,DA,Vancouver,0.01317,534,367,361,1274,0,360,340
59150821,DA,Vancouver,0.01533,473,329,325,1307,0,325,230
59150822,DA,Vancouver,0.01582,435,246,241,1552,0,240,130
59150823,DA,Vancouver,0.01816,475,310,300,1475,0,300,255
59150824,DA,Vancouver,0.01757,400,321,296,1172,0,300,225
59150827,DA,Vancouver,0.03478,457,374,314,1354,0,315,310
59150828,DA,Vancouver,0.05006,682,472,447,1367,0,445,395
59150831,DA,Vancouver,0.02343,630,449,436,1549,0,440,435
59150832,DA,Vancouver,0.04954,765,558,534,1270,0,535,535
59150837,DA,Vancouver,0.01856,452,327,324,1085,5,325,140
59150840,DA,Vancouver,0.01748,432,299,286,1140,0,285,165
59150841,DA,Vancouver,0.018,506,302,274,1253,0,275,250
59150845,DA,Vancouver,0.02698,674,448,426,1328,5,430,250
59150846,DA,Vancouver,0.02619,780,547,509,1541,5,510,305
59150850,DA,Vancouver,0.14334,2277,1322,1141,2013,0,1140,1120
59150859,DA,Vancouver,0.01529,412,271,266,1621,0,265,155
59150861,DA,Vancouver,0.02347,613,484,435,1264,0,435,325
59150863,DA,Vancouver,0.05478,596,463,412,1404,0,410,370
59150864,DA,Vancouver,0.01772,506,370,363,1289,0,360,320
59150865,DA,Vancouver,0.03587,698,519,489,1329,0,490,350
59150866,DA,Vancouver,0.01793,567,374,364,1141,0,365,280
59150871,DA,Vancouver,0.31369,548,383,370,1248,5,370,230
59150872,DA,Vancouver,0.07784,423,250,210,1653,30,210,0
59150873,DA,Vancouver,0.06285,512,323,270,1985,25,270,0
59150874,DA,Vancouver,0.171,592,400,372,1336,5,370,0
59150875,DA,Vancouver,0.03394,530,351,336,1568,0,335,0
59150876,DA,Vancouver,0.03335,580,409,377,1462,0,380,5
59150877,DA,Vancouver,0.01682,358,258,253,1409,5,250,165
59150878,DA,Vancouver,0.03467,540,373,358,1331,0,360,60
59150879,DA,Vancouver,0.05106,634,424,392,1260,0,390,220
59150880,DA,Vancouver,0.04964,587,375,340,1542,0,340,0
59150881,DA,Vancouver,0.06567,594,393,363,1577,10,365,0
59150882,DA,Vancouver,0.0789,700,378,353,1564,20,355,0
59150883,DA,Vancouver,0.17065,465,260,230,1947,80,230,0
59150884,DA,Vancouver,0.08127,369,212,181,1538,10,185,0
59150885,DA,Vancouver,0.6938,438,275,265,725,0,265,0
59150886,DA,Vancouver,0.50347,489,243,226,1516,110,225,0
59150887,DA,Vancouver,0.16486,511,197,178,2321,110,175,0
59150888,DA,Vancouver,0.08912,459,188,172,1405,95,170,0
59150889,DA,Vancouver,0.11075,512,191,172,2432,95,170,0
59150890,DA,Vancouver,0.11236,569,229,205,2030,135,205,0
59150891,DA,Vancouver,0.20988,520,207,187,1354,115,185,0
59150892,DA,Vancouver,0.15739,434,168,160,0,120,160,0
59150893,DA,Vancouver,0.11237,544,224,197,1519,95,200,0
59150894,DA,Vancouver,0.09939,630,278,260,1927,70,260,0
59150895,DA,Vancouver,0.10415,533,215,193,1354,100,190,0
59150896,DA,Vancouver,0.09695,523,207,184,1892,100,185,0
59150897,DA,Vancouver,0.11558,605,242,222,1467,130,225,0
59150898,DA,Vancouver,0.13253,497,212,190,1951,80,190,0
59150899,DA,Vancouver,0.13459,528,238,205,1753,95,205,0
59150900,DA,Vancouver,0.08821,441,161,147,0,105,150,0
59150901,DA,Vancouver,0.1021,449,171,146,0,100,145,0
59150902,DA,Vancouver,0.10148,394,174,150,2034,90,150,0
59150903,DA,Vancouver,0.19708,497,188,170,1275,110,170,0
59150904,DA,Vancouver,0.12686,419,173,141,0,100,145,0
59150905,DA,Vancouver,0.14118,520,201,180,1958,135,180,0
59150906,DA,Vancouver,0.12783,486,182,164,1379,110,165,0
59150907,DA,Vancouver,0.16368,609,267,230,1648,120,230,5
59150912,DA,Vancouver,0.17163,500,190,174,0,145,175,0
59150913,DA,Vancouver,0.19067,503,180,162,0,130,160,0
59150914,DA,Vancouver,0.15489,489,162,155,0,140,155,0
59150915,DA,Vancouver,0.11964,474,183,166,0,110,170,0
59150916,DA,Vancouver,0.10525,447,170,148,0,100,145,0
59150917,DA,Vancouver,0.17757,487,178,163,2094,95,165,0
59150918,DA,Vancouver,0.10764,453,180,162,0,95,160,0
59150919,DA,Vancouver,0.37297,454,171,154,0,120,150,0
59150920,DA,Vancouver,0.10143,526,199,178,1734,90,175,0
59150922,DA,Vancouver,0.08967,489,185,169,0,75,170,0
59150923,DA,Vancouver,0.13371,598,249,215,2081,130,215,0
59150924,DA,Vancouver,0.09098,605,322,290,1386,65,290,115
59150925,DA,Vancouver,0.08585,532,307,266,1542,60,265,145
59150926,DA,Vancouver,0.10848,713,369,316,1369,50,315,0
59150927,DA,Vancouver,0.11224,644,279,247,1752,75,250,0
59150928,DA,Vancouver,0.09033,459,197,170,1610,60,170,0
59150929,DA,Vancouver,0.0946,431,165,146,2153,70,145,0
59150930,DA,Vancouver,0.11308,444,167,157,0,95,155,0
59150931,DA,Vancouver,0.15782,478,212,194,0,135,195,0
59150932,DA,Vancouver,0.35117,435,185,168,0,120,170,0
59150933,DA,Vancouver,0.15418,447,179,169,0,120,170,0
59150934,DA,Vancouver,0.60974,402,161,135,0,110,135,0
59150935,DA,Vancouver,0.11358,439,155,145,0,95,145,0
59150936,DA,Greater Vancouver A,2.39336,546,232,198,1594,150,195,0
59150937,DA,Greater Vancouver A,0.04504,511,227,176,1446,0,175,0
59150938,DA,Greater Vancouver A,0.09397,313,189,141,1451,25,140,0
59150939,DA,Greater Vancouver A,0.09456,1206,779,605,1839,0,605,265
59150940,DA,Greater Vancouver A,0.40526,1109,913,183,1438,F,F,F
59150942,DA,Greater Vancouver A,0.05954,283,215,112,1304,0,115,5
59150945,DA,Greater Vancouver A,0.07056,410,190,184,0,0,185,0
59150946,DA,Greater Vancouver A,0.41924,1174,201,135,1073,F,F,F
59150947,DA,Greater Vancouver A,0.67632,1191,800,551,1741,55,550,380
59150948,DA,Greater Vancouver A,0.41176,701,311,265,2010,115,265,40
59150957,DA,Vancouver,0.16391,440,170,146,1559,80,145,0
59150958,DA,Vancouver,0.0963,376,150,128,0,90,130,0
59150959,DA,Vancouver,0.12718,503,200,169,0,105,165,0
59150960,DA,Vancouver,0.13149,446,162,145,2138,110,145,0
59150961,DA,Vancouver,0.17265,480,182,166,0,110,165,0
59150962,DA,Vancouver,0.12097,465,171,153,2407,120,150,0
59150963,DA,Vancouver,0.10473,446,180,165,2280,130,165,0
